title,url,watchnum,dm,uptime,upname
【慕尼黑大学课程】吐火罗语语法与阅读 06 吐火罗语名词和动词，《福力太子因缘》参考文献，介绍和阅读,//www.bilibili.com/video/BV1rX4y1M7V8?from=search,237,0,2020/12/8,tonypt
适合新手的前端小项目-模拟网页端酷狗音乐官网-可以做大学网页课程设计哦-前端、html、css、js、ui、layui、框架、项目、网页设计、大学课程、毕业设计,//www.bilibili.com/video/BV1Tt4y1C7p5?from=search,370,2,2020/12/28,爱代码的编程君
【慕尼黑大学课程】印度–伊朗语历史语言学 03 吠陀梵语名词和音变，梨俱吠陀 4.1.1 阅读分析,//www.bilibili.com/video/BV13K411V7x9?from=search,179,1,2020/11/17,tonypt
【慕尼黑大学课程】印度–伊朗语历史语言学 04 吠陀梵语名词和动词，动词等，梨俱吠陀 4.1.1 阅读分析,//www.bilibili.com/video/BV1Ry4y167n1?from=search,381,1,2020/11/24,tonypt
【慕尼黑大学课程】学术资源和规范 01 学生版办公软件，教育网，云打印，添加语言和输入法，unicode，谷歌高级检索,//www.bilibili.com/video/BV1ma4y1s7SA?from=search,743,0,2020/11/5,tonypt
【慕尼黑大学课程】印度–伊朗语历史语言学 11 古波斯语 02 课程论文,//www.bilibili.com/video/BV1Zz4y1m7pR?from=search,161,0,2021/2/1,tonypt
【慕尼黑大学课程】印度–伊朗语历史语言学 06 吠陀梵语名词和动词，词汇解释和词源分析,//www.bilibili.com/video/BV1cT4y1M7B7?from=search,255,0,2020/12/8,tonypt
【慕尼黑大学课程】印度–伊朗语历史语言学 07 吠陀梵语动词及其印欧语来源，梨俱吠陀 4.1.2 阅读和词汇词源分析,//www.bilibili.com/video/BV1UZ4y1g7Um?from=search,364,0,2020/12/15,tonypt
华盛顿大学课程：“胡说八道”——数字世界数据推理之道,//www.bilibili.com/video/BV1iW411L78y?from=search,1854,1,2018/4/15,爱可可-爱生活
asp.net701大学课程《计算机网络》教学网站-毕业设计,//www.bilibili.com/video/BV1xp4y1p7WS?from=search,6,0,2021/2/15,计算机毕业设计860234001
王甦老师 围棋中的伽吃 老年大学课程,//www.bilibili.com/video/BV1Hp4y1W7qv?from=search,26,0,2021/1/15,家游学院
加拿大西三一大学课程项目说明会,//www.bilibili.com/video/BV1Vp4y1Y7um?from=search,60,0,2020/10/7,西三一大学申请小助手
大学课程期末项目《Riff Warrior（即兴勇士）》预告片,//www.bilibili.com/video/BV19p4y1Y7Mt?from=search,30,0,2020/8/27,毛虫炖白菜
#考研#大学生的日常#大学课程#,//www.bilibili.com/video/BV1Wp4y1v7M4?from=search,32,0,2020/8/10,奶茶味的牙
【珠宝设计手绘】翡翠手绘还附带横截面结构图？谁说大学课程没用的！,//www.bilibili.com/video/BV16p4y1X78n?from=search,394,0,2020/4/23,和锦珠宝设计
【大学课程】高等数学 Calculus 瑕积分 第二集 元智大学,//www.bilibili.com/video/BV1rp4y1178V?from=search,105,0,2020/3/27,JUSTlaolin
痴心绝对 三年前的大学课程,//www.bilibili.com/video/BV1GK4y1f7zT?from=search,19,0,2020/11/18,记忆那抹蓝
（密歇根大学课程Week2-8）Time Value of Money（原名金融导论）,//www.bilibili.com/video/BV17T4y1w7m7?from=search,9,0,2020/10/18,linksysram
［大学课程］现代汉语,//www.bilibili.com/video/BV17T4y1w7CX?from=search,446,0,2020/10/10,水墨秋风搬运工
数据标注的意识形态与政治思维(上海外国语大学课程思政链),//www.bilibili.com/video/BV1zT4y1u79q?from=search,570,5,2020/5/17,ting-gor
【大学课程】《行星运动与常微分方程》（全5集）,//www.bilibili.com/video/BV1yT4y1G7RM?from=search,321,0,2020/4/21,爱学习的小刚子
【大学课程】《中国人的精神传统》（全6集）,//www.bilibili.com/video/BV1ST4y1G7bw?from=search,259,0,2020/4/21,爱学习的小刚子
大学课程:居家疫情锻炼之——塑型核心训练,//www.bilibili.com/video/BV1AT4y1G7Be?from=search,58,0,2020/4/9,何如天性凉薄
【大学课程】计算机网络-第七周-1,//www.bilibili.com/video/BV1RT4y1371E?from=search,83,0,2020/4/7,HOLMES_MA
【布里斯托大学课程】-2021年计算机视觉-computer vision-CV - 3 边缘和形状,//www.bilibili.com/video/BV1WK4y1H7hy?from=search,6,0,2021/2/22,UK_Starlight
Bella&#39;s Vlog 03｜大学课程的最后一周｜和朋友见面的日常｜,//www.bilibili.com/video/BV14K4y1E7rf?from=search,11,0,2020/11/8,一坨蛋黄酱
《朱一宇的枯燥生活》 | 大学课程作业,//www.bilibili.com/video/BV1MK4y1E7jg?from=search,58,0,2020/10/28,腿毛阿姨呀
（密歇根大学课程Week3-1）Time Value of Money（原名金融导论）,//www.bilibili.com/video/BV1MK4y1E7h7?from=search,15,0,2020/10/24,linksysram
（密歇根大学课程Week3-6）Time Value of Money（原名金融导论）,//www.bilibili.com/video/BV1dK4y177ko?from=search,4,0,2020/10/24,linksysram
（密歇根大学课程Week3-3）Time Value of Money（原名金融导论）,//www.bilibili.com/video/BV1hK4y177fa?from=search,0,0,2020/10/24,linksysram
大头狗博士带你学大学课程（二）：高数先导知识第0章-三角函数,//www.bilibili.com/video/BV1hK4y147Pq?from=search,472,1,2020/6/15,大头dog博士和朋友们
【丁慧】稀土发光材料 解读内蒙古大学课程,//www.bilibili.com/video/BV1KK4y187LP?from=search,531,0,2020/5/8,丁慧是五妹
一群憨憨出门的一天（其实是大学课程的作业）,//www.bilibili.com/video/BV1kK4y1b7Dq?from=search,47,0,2020/4/25,呼叫jo太郎
发动机2（大学课程）,//www.bilibili.com/video/BV18K4y1b7zs?from=search,32,0,2020/4/28,尽制
【大学课程】计算机网络-第六周-3,//www.bilibili.com/video/BV1hK4y1C7We?from=search,22,0,2020/4/1,HOLMES_MA
【布里斯托大学课程】-2021年计算机视觉 - computer vision - CV-4 语义分割,//www.bilibili.com/video/BV1f54y1Y7RK?from=search,10,0,2021/2/22,UK_Starlight
（密歇根大学课程Week2-3）Time Value of Money（原名金融导论）,//www.bilibili.com/video/BV1f54y1k78A?from=search,6,0,2020/10/18,linksysram
当代大学课程现状,//www.bilibili.com/video/BV1t54y1e7WE?from=search,169,0,2020/8/21,丁香2号
【大白猫】小米雷军：两年读完大学课程，不单是学霸，还是互联网著名劳模,//www.bilibili.com/video/BV1A54y1i7oB?from=search,151,0,2020/8/4,常见的大白猫
大学化学——大学课程,//www.bilibili.com/video/BV1F54y1B7Ae?from=search,308,0,2020/7/25,LPB-
